story_id,condition,story_text,self_used_ai,assist_idea0,assist_idea1,assist_idea2,assist_idea3,assist_idea4,self_own_ideas,self_novel,self_original,self_rare,self_appropriate,self_feasible,self_publishable,self_profit,self_enjoyed,self_badly_written,self_boring,self_funny,self_twist,self_future,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,dat_words,DAT_score,age,gender,education,employment,ai_used_actual
ba492bdd-2caa-4147-9af8-b10a96a28355,human,"Arianna and her dog were sailing on a boat across the Baltic Sea. The journey was long but so adventures. She was trying to cross the sea from Sweden to Poland so she could meet her one true love. They have been writing letters to each other for 18 months and decided it was time to meet. Arianna had her trip planned before she spoke to Leo for the first time. Since he lived in Poland it felt like faith. When she arrived to port she could see him waiting on shore, waving in excitement. She ran to him and it felt like she knew him forever. ",0.0,,,,,,4.0,7.0,4.0,2.0,9.0,7.0,5.0,50,8,6,6,1,3,2,dog,boat,book,lighter,key,bag,laptop,car,cable,screwdriver,"['dog', 'boat', 'book', 'lighter', 'key', 'bag', 'laptop', 'car', 'cable', 'screwdriver']",,28,Female,Undergraduate degree,Employed full time,0
ad294208-cc7b-4aa5-91f5-bba5d419f065,human_5AI,"On a moonlit night, beneath a starry sky, Alex, set sail across the open seas. Armed with dreams of treasure and foreign lands, he dared to uncover the mysteries that lay beyond the horizon. The melody of crashing waves and the distant call of seagulls guided his journey. As Alex's ship glided through turquoise waters, a huge storm arose, challenging his resolve. But Alex, fueled with resilience, steered through the chaos of the churning waters with a steady hand. Many moons after, a breathtaking encounter awaited him, as he stumbled upon a hidden mermaid sanctuary, their infectious songs captivating Alex's heart. Encouraged by his newfound allies, Alex navigated the treacherous waters and perilous currents, finally discovering an ancient treasure lost to time. With the treasure secured, Alex returned home, forever transformed by the enchantment of the open seas.",1.0,6.0,,4.0,,,7.0,4.0,5.0,4.0,8.0,8.0,4.0,100,8,6,5,1,4,1,Tablets,Reindeer,Bus,Iceberg,Juice,Giraffe,Calculator,Bulb,Tractor,Monster,"['Tablets', 'Reindeer', 'Bus', 'Iceberg', 'Juice', 'Giraffe', 'Calculator', 'Bulb', 'Tractor', 'Monster']",,32,Male,Undergraduate degree,Employed full time,1
f339a280-e835-4165-be41-5cda6fb1604f,human,"Becky knew she wasn't supposed to take her father's boat out of the harbour onto the open sea by herself, but it was a lovely day and the sea was still and calm, she'd watched her father operate the boat more times than she could remember so she felt confident as she started the motor and headed out.      Becky turned her face upwards towards the warm sun and closed her eyes, blissfully enjoying the heat and the sound of the water lapping at the sides of the boat.   She felt a shadow pass overhead and opened her eyes, delighted to see the seagull flying over her head and the three others who had joined their brother, she felt giddy as they circled above her with their shrieking cries. Suddenly one of the gulls swooped lower and she felt a stabbing pain in her head as it's beak connected with it, another beak flew into her face and she screamed as she felt her flesh tear. Beak after razor-sharp beak pecked at her head and slashed her arms as she tried to protect herself. Blood was running down her face into her eyes and she could no longer see.   She curled into a ball at the bottom of the boat and waited for the onslaught to stop, and she waited and she waited and she waited. By mid-afternoon the next day an empty boat was seen gently drifting into the harbour. ",0.0,,,,,,7.0,1.0,2.0,2.0,8.0,1.0,1.0,100,3,2,8,1,3,1,car,umbrella,chicken,flower,river,wind,football,needle,bone,brick,"['car', 'umbrella', 'chicken', 'flower', 'river', 'wind', 'football', 'needle', 'bone', 'brick']",,55,Female,Less than A levels,Disabled,0
dabe869d-79d8-4c82-9350-5e4ebd0806c7,human,"Rachel and Emily crouched to look at the tiny, dark spider.  'Careful Rach,' Emily warned, resting her hand on her sister's. 'That might be venomous.'  'But Mrs Webb told us to find the most interesting thing we could.'  Emily stood up, stretching her back as she looked up at the high canopy of the trees and then around at the shadowy forest floor. They'd wandered quite a way from the college group and she couldn't hear anyone else, or anything else for that matter.  'Do you remember the way back Rach?'  'We just need to follow the string you teased me for bringing,' Rachel said with a laugh.  ",0.0,,,,,,9.0,6.0,7.0,6.0,7.0,6.0,4.0,100,9,6,6,4,6,3,carrot,elephant,helium,cloud,engineering,nebula,plankton,injection,abstract,archaeology,"['carrot', 'elephant', 'helium', 'cloud', 'engineering', 'nebula', 'plankton', 'injection', 'abstract', 'archaeology']",,52,Female,Postgraduate Master's degree,Employed part time,0
4e07145a-a82a-43f3-a848-39819e97dd62,human_1AI,"A group of young, daring explorers have embarked upon a dangerous expedition in order to unearth ancient relics hidden for centuries in the heart of the jungle. Much to their horror, they quickly realise that they are not alone, as an unknown and ferocious creature is lurking in the shadows - ready to maim and kill. Amidst the tangled vines and the endless thick, towering trees - the group find themselves in mortal danger while, but they are determined to unearth the relics to solve the mysteries behind a lost civilization.  Jacob, the leader of the group, has been digging for what seems an age when he notices something glistening in the sunlight. Excited, he calls on his right hand man, Ian, to help with the delicate excavation project. Just as he begins to bring the relic to the surface, the creature jumps on his back - knocking him to the ground. Jacob screams in agony as the creature makes a fatal bite into his neck; he knows he is not going to make it. With his last dying breath he manages to alert the others in the group to the mortal danger they face, and pleads with them to run and leave the place as fast as he can, leaving him to die in the jungle. ",1.0,9.0,,,,,1.0,1.0,1.0,1.0,8.0,5.0,2.0,50,5,2,5,1,1,1,Chair,Cup,Computer,Book,Holiday,Music,Geography,Plant,Net,Carpet,"['Chair', 'Cup', 'Computer', 'Book', 'Holiday', 'Music', 'Geography', 'Plant', 'Net', 'Carpet']",,36,Female,A levels,Employed part time,1
fb6ed7ee-5158-4c2f-a222-15cedcda0718,human_5AI,"John, an explorer and adventurer, had a lifelong ambition to enter the mysterious jungle where nobody before him had survived, and at long last he embarked on his mission to seek the legendary lost city of Perditum.  During the first few days of his adventure, John acclimatised himself with the jungle, seeking out safe vegetation to eat, building makeshift shelters along the way and keeping out of the way of dangerous animals.  After two weeks of pushing deeper into the jungle, he stumbled upon a settlement of mudhuts, where he saw  groups of native women, some cooking food over fires, some sitting by the river washing clothes, as they watched their children playing happily in the distance.  Suddenly one of the women started screaming hysterically and it soon became clear that her child was missing; John ran across to the group, who, startled at first at seeing a stranger in their midst, desperately pointed to an area of dense undergrowth behind the huts.  It became clear that the child had been seen running towards the undergrowth, but when John ventured in that direction, the women tried to stop him, looks of sheer terror on their faces, and emitting bloodcurdling screams as he ignored their warnings and ran towards the deep undergrowth.  As he ventured further, the jungle became thicker, and after two hours of struggling through the dense growth, sustaining cuts and bruises and being bitten by insects, he stumbled, falling and hitting his head on a stump, whereupon he passed out.  As he regained consciousness, he remembered a vivid dream that he must have experienced whilst unconscious, where he was floundering in a swamp, desperately trying to get out, before succumbing to the abyss; when suddenly a small boy appeared from nowhere and miraculously pulled him to safety, after which, John knew he had to carry on and find the missing boy.  He got to his feet and staggered on, gradually becoming stronger, when suddenly a clearing appeared in the jungle, and John could hardly believe what he was witnessing: the long lost city he had set out to discover, and here was the missing boy, looking bewildered and lost; John hauled him up onto his shoulders and began the long journey back to the safety of the boy's home village.  ",1.0,4.0,1.0,,,,6.0,5.0,5.0,4.0,8.0,2.0,3.0,27,7,5,4,1,6,4,sun,table,thought,football,car,music,trousers,sleep,garden,paper,"['sun', 'table', 'thought', 'football', 'car', 'music', 'trousers', 'sleep', 'garden', 'paper']",,64,Female,Less than A levels,Retired,1
a75ba6ab-43b0-46f0-abee-5bb07d5eb7e0,human_5AI,"We set sail on the morning of June the 26th 1892.  Or destination was kept secret from us, only the captain and his mates knew.  Guns and weapons had been put on board so we had some trepidation.  The sea was rough and the ship was taking a battering, it would be a long voyage ahead.  A few days into the voyage we came across another ship in our path, the captain ordered us to take arms.  We were instructed to open fire on the vessel despite no aggression being shown towards us.  The other ship was still afloat but most of the crew had been killed.  We boarded the depleted ship and found treasure aboard which we looted for our own ends.",0.0,,,,,,7.0,3.0,3.0,3.0,8.0,4.0,4.0,60,7,5,5,1,5,5,Phantom,Bananna,Full,Swamp,Liverpool,Tonsils,Comma,Testosterone,Police,Sun,"['Phantom', 'Bananna', 'Full', 'Swamp', 'Liverpool', 'Tonsils', 'Comma', 'Testosterone', 'Police', 'Sun']",,48,Male,Undergraduate degree,Employed part time,0
61264962-4daa-4ee8-bc77-19ca6fc6e4b5,human,"Kye peered over the edge of the boat and shuddered. The thick mass of water undulated below him, dark and impenetrable. They still had 600 miles before reaching Hamlet Cove, and the way was looking grim. Up ahead was a wall of grey cloud, and following them from the South, the same. The ship was quiet that day. They all knew what challenges lay ahead, and an unnerving presence hung in the air. Kye turned to the captain. He had never seen him look so pale.",0.0,,,,,,3.0,2.0,2.0,2.0,6.0,5.0,5.0,100,5,6,4,1,1,1,cucumber,table,car,turquoise,love,wealth,art,chaos,delight,indian,"['cucumber', 'table', 'car', 'turquoise', 'love', 'wealth', 'art', 'chaos', 'delight', 'indian']",,29,Female,Undergraduate degree,Employed full time,0
c1991637-c38f-4bae-8e06-6f0becdacfe3,human_1AI,This is my story.  There were 8 of us on a journey to another planet to look for life.  As we touched down on Mars we were greeted by a group of Ant-like looking creatures.  We were led to their king who was in a very large Ant-like palace.  The Ant King thanked us for coming and told us that we must take better care of our planet earth otherwise we would destroy its resources within 100 years.      We were shown around the palace and saw how these creatures used the resources available to them to be sustainable and have economic growth within their communities.  We lived with the Ant people for 3 months learning and being educated by them about everything.  I had a wonderful time on Mars we are not alone in the universe.  I learnt a word when living on Mars: TICKI it means LOVE,1.0,2.0,,,,,8.0,1.0,1.0,1.0,9.0,2.0,1.0,100,8,6,5,1,3,5,cell,sugar,fruit,glass,Air,Age,Oil,Night,Purple,Number,"['cell', 'sugar', 'fruit', 'glass', 'Air', 'Age', 'Oil', 'Night', 'Purple', 'Number']",,61,Female,Less than A levels,Unemployed looking for work,1
c6bc5ab0-7b03-45e5-8d64-2cc554967f75,human_1AI,"Deep within the heart of a lush, unexplored jungle, a young explorer named Amelia set out on a thrillng adventure. Equipped with her trusty map and a spirit of curiosity. she trekked through the dense foliage, guided only by the sounds of exotic birds and rustling leaves. The humid air hung heavy around her as she discovered ancient ruins, entangled with vines and mystery. As dusk settled, Amelia's flashlight illuminated the glowing eyes of a magnificent black panther, causing her heart to race with both fear and awe. With quick thinking, she cautiously befriended the majestic creature, who became her loyal companion in navigating treacherous terrain and warding off hidden dangers. Together, they stumbled upon a hidden treasure trove, brimming with sparkling jewels and ancient artifacts, remnants of a forgotten civilization. Overwhelmed by the awe-inspiring discovery, Amelia couldn't help but marvel at the untamed beauty of the jungle and the boundless adventures it held within its leafy embrace.",1.0,1.0,,,,,3.0,7.0,8.0,2.0,8.0,5.0,4.0,50,5,9,1,2,1,3,dog,cat ,bat,chair,stairs,bear,spider,cockroach,centipede,human,"['dog', 'cat ', 'bat', 'chair', 'stairs', 'bear', 'spider', 'cockroach', 'centipede', 'human']",,57,Male,Postgraduate Master's degree,Employed full time,1
