variable,U_stat,p_value,median_no_ai,median_ai,n_no_ai,n_ai
self_own_ideas,12437.0,0.028351985084783194,7.0,7.0,154,141
self_appropriate,9299.5,0.028470926796724364,7.0,8.0,154,141
self_future,12294.0,0.045309871083014,3.0,2.0,154,141
self_original,12122.0,0.08160038801483012,5.0,4.0,154,141
self_enjoyed,12063.5,0.09316825651109552,7.0,7.0,154,141
self_twist,10119.5,0.31038807845173866,5.0,5.0,154,141
self_rare,11489.0,0.3829068360562804,4.0,3.0,154,141
self_novel,11413.5,0.4434097259411033,5.0,4.0,154,141
self_boring,10393.0,0.5221972043611804,4.0,4.0,154,141
self_feasible,10566.5,0.6892985772780136,6.0,6.0,154,141
self_publishable,10724.5,0.8557604263728935,4.0,4.0,154,141
self_badly_written,10972.0,0.8742043167012795,5.0,6.0,154,141
self_funny,10952.0,0.8942503588389444,2.0,2.0,154,141
