evaluator_code,story_id,topic,pre_novel,pre_original,pre_rare,pre_appropriate,pre_feasible,pre_publishable,pre_profit,pre_tt_enjoyed,pre_tt_badly_written,pre_tt_boring,pre_tt_funny,pre_tt_twist,pre_tt_future,post_ai_usage,post_ai_assist,post_authors_ideas,post_ownership,post_profit,condition,ai_used_actual
mnnllhb0,b7c28702-7a1c-4e82-9b92-4422a60440d0,an adventure on the open seas,1.0,1.0,1.0,7.0,2.0,4.0,50,5.0,5.0,7.0,1.0,1.0,1.0,0.0,10,9.0,9.0,0,human_1AI,0.0
xr0dhefd,99ef06e6-7930-4121-918d-b64c0dc4e885,an adventure on a different planet,1.0,1.0,1.0,4.0,4.0,3.0,50,2.0,4.0,6.0,1.0,1.0,1.0,1.0,0,2.0,2.0,50,human_1AI,1.0
5nwve1jt,ba492bdd-2caa-4147-9af8-b10a96a28355,an adventure on the open seas,2.0,2.0,2.0,5.0,3.0,4.0,50,4.0,3.0,6.0,2.0,3.0,4.0,0.0,16,6.0,5.0,0,human,0.0
nkf2ss0o,8ec6743a-6ab5-4b6b-9c29-b57830dab1a6,an adventure on a different planet,1.0,1.0,1.0,4.0,4.0,4.0,50,1.0,1.0,8.0,1.0,1.0,1.0,0.0,25,1.0,2.0,0,human,0.0
f02yzw1v,cb260fad-db5b-4730-960c-020aa4fd43c5,an adventure in the jungle,3.0,3.0,3.0,4.0,6.0,4.0,50,5.0,4.0,5.0,1.0,2.0,1.0,0.0,100,9.0,9.0,0,human,0.0
vnbvro81,8b616451-0c4b-45bf-91eb-75f594b1e5b1,an adventure on the open seas,3.0,3.0,2.0,7.0,2.0,3.0,50,3.0,5.0,7.0,2.0,3.0,2.0,0.0,72,8.0,8.0,0,human,0.0
ijtt7ixk,92aeebce-c4f4-4c12-bcfe-787e838884ea,an adventure on the open seas,2.0,2.0,2.0,5.0,4.0,3.0,50,3.0,3.0,4.0,1.0,3.0,2.0,2.0,59,5.0,5.0,100,human_1AI,0.0
fusb0o36,a2f110ab-01b8-4406-a6e5-94a54aaa2dbb,an adventure in the jungle,2.0,2.0,2.0,4.0,4.0,7.0,50,2.0,1.0,3.0,3.0,2.0,3.0,2.0,75,2.0,8.0,90,human_1AI,0.0
pain2sfj,c3933595-b0b7-4050-9e25-0cb0ce82e032,an adventure on the open seas,2.0,2.0,2.0,8.0,9.0,8.0,50,9.0,8.0,2.0,1.0,1.0,8.0,0.0,50,7.0,7.0,0,human,0.0
b7uotdiu,4e131c0a-d3c7-4c1d-b19b-00eec13972db,an adventure on a different planet,6.0,7.0,6.0,7.0,4.0,4.0,50,4.0,5.0,3.0,1.0,3.0,2.0,1.0,50,7.0,6.0,75,human_5AI,1.0
mbh2ap2j,cf149237-6fb4-458c-b1fc-f8df29d2deb0,an adventure in the jungle,5.0,5.0,5.0,1.0,1.0,1.0,50,2.0,6.0,8.0,1.0,2.0,2.0,1.0,50,4.0,4.0,0,human,1.0
gtqg4alu,69151edb-e4da-4902-933d-283ed7cfea4e,an adventure on the open seas,1.0,1.0,1.0,2.0,2.0,1.0,50,3.0,4.0,6.0,3.0,3.0,5.0,0.0,16,5.0,5.0,0,human,0.0
yfr42n54,05ca1ff6-7b93-4b86-9307-bf710664dd0f,an adventure on the open seas,3.0,3.0,3.0,7.0,7.0,7.0,50,2.0,4.0,5.0,1.0,6.0,3.0,0.0,27,8.0,8.0,0,human,0.0
s8s8r6od,f3a6d784-763f-41fb-b889-11f2bcba72d7,an adventure on the open seas,6.0,6.0,5.0,8.0,9.0,8.0,50,9.0,9.0,1.0,1.0,1.0,5.0,0.0,50,9.0,9.0,0,human,0.0
280ia2hf,82b08721-72c1-4bfe-b09b-511b3b03f484,an adventure in the jungle,3.0,2.0,2.0,3.0,2.0,5.0,50,3.0,5.0,7.0,1.0,2.0,1.0,0.0,96,1.0,3.0,0,human,0.0
a644lk9a,32fd4cd2-8aa1-4dde-ac62-896cf13011bd,an adventure on a different planet,1.0,1.0,1.0,1.0,1.0,1.0,50,1.0,1.0,7.0,1.0,1.0,6.0,1.0,85,7.0,7.0,50,human_5AI,1.0
6npwvr3e,62cdfece-43dd-451a-80d4-98182ab75885,an adventure on the open seas,5.0,6.0,8.0,6.0,4.0,4.0,50,5.0,6.0,4.0,1.0,2.0,1.0,0.0,2,9.0,9.0,0,human_1AI,0.0
ymb5zqil,5eb93cb5-db0b-4d09-9a59-2029f2753e1e,an adventure on the open seas,1.0,1.0,1.0,4.0,4.0,5.0,50,7.0,6.0,3.0,2.0,6.0,1.0,1.0,24,1.0,1.0,25,human_5AI,1.0
tgoccmze,d5d0b4f8-195a-4985-90ad-39c87ec3a059,an adventure in the jungle,6.0,4.0,7.0,4.0,6.0,4.0,50,4.0,6.0,6.0,2.0,8.0,4.0,1.0,81,7.0,5.0,70,human_5AI,1.0
v1sur4uk,4c88b4d8-0718-47ba-b497-80aa8e70405d,an adventure on the open seas,2.0,2.0,2.0,3.0,6.0,6.0,50,3.0,3.0,6.0,2.0,5.0,1.0,1.0,70,6.0,5.0,80,human_5AI,1.0
kilzznok,776ba85a-7ec6-40ca-aff0-d2d7627919ec,an adventure in the jungle,3.0,3.0,3.0,6.0,5.0,4.0,50,2.0,5.0,6.0,4.0,2.0,1.0,2.0,51,4.0,4.0,51,human_1AI,0.0
x4vgyedy,3a502b29-e6f1-4e4a-aba2-b83bff58887a,an adventure on the open seas,3.0,3.0,2.0,8.0,8.0,8.0,50,6.0,7.0,3.0,1.0,5.0,3.0,0.0,50,6.0,6.0,0,human,0.0
5li28yxl,f3eadea7-021d-469b-8eef-0508ccc852c2,an adventure on a different planet,3.0,2.0,2.0,4.0,1.0,2.0,50,3.0,3.0,7.0,1.0,3.0,2.0,1.0,34,7.0,1.0,50,human_1AI,1.0
f885ccqs,d0a5d8c4-a5d8-42e4-9e98-657545cec815,an adventure on the open seas,8.0,8.0,6.0,7.0,6.0,6.0,50,7.0,4.0,5.0,7.0,5.0,7.0,0.0,23,8.0,9.0,0,human,0.0
gpomtmrc,3d2c8b8e-a782-4b21-979f-43ca387d98ce,an adventure on the open seas,5.0,5.0,5.0,5.0,8.0,8.0,50,7.0,7.0,1.0,1.0,4.0,3.0,0.0,0,9.0,9.0,0,human,0.0
3ofllhfr,d85227b3-1de2-4df3-acec-18891baf76cd,an adventure in the jungle,2.0,2.0,1.0,5.0,6.0,3.0,50,4.0,2.0,8.0,1.0,1.0,1.0,0.0,90,7.0,9.0,0,human,0.0
hsd4wpdh,d1b64760-12b9-4490-98b4-d8d251bb4657,an adventure on a different planet,6.0,5.0,5.0,9.0,8.0,8.0,50,8.0,9.0,1.0,1.0,5.0,6.0,1.0,64,1.0,2.0,24,human_5AI,1.0
fkrm3kl1,57ab2538-39e7-4d42-b6e6-ab38688d415d,an adventure in the jungle,3.0,3.0,2.0,5.0,6.0,4.0,50,6.0,8.0,3.0,1.0,2.0,1.0,1.0,40,7.0,7.0,0,human_5AI,1.0
53jw9rdh,39bb06b9-5386-4081-addd-8216cb497a4c,an adventure on the open seas,3.0,3.0,3.0,6.0,4.0,2.0,50,2.0,4.0,6.0,1.0,4.0,2.0,0.0,20,7.0,7.0,0,human,0.0
34kj7eks,f2d658e2-90c4-4942-813d-f4c063b84c93,an adventure on a different planet,6.0,6.0,6.0,2.0,3.0,5.0,50,5.0,5.0,4.0,5.0,3.0,2.0,0.0,50,7.0,7.0,0,human,0.0
