story_id,ai_used_actual,evaluator_code,post_authors_ideas,post_ownership,post_profit,post_ai_assist
b7c28702-7a1c-4e82-9b92-4422a60440d0,0,mnnllhb0,9.0,9.0,0,10
99ef06e6-7930-4121-918d-b64c0dc4e885,1,xr0dhefd,2.0,2.0,50,0
ba492bdd-2caa-4147-9af8-b10a96a28355,0,5nwve1jt,6.0,5.0,0,16
8ec6743a-6ab5-4b6b-9c29-b57830dab1a6,0,nkf2ss0o,1.0,2.0,0,25
cb260fad-db5b-4730-960c-020aa4fd43c5,0,f02yzw1v,9.0,9.0,0,100
8b616451-0c4b-45bf-91eb-75f594b1e5b1,0,vnbvro81,8.0,8.0,0,72
92aeebce-c4f4-4c12-bcfe-787e838884ea,0,ijtt7ixk,5.0,5.0,100,59
a2f110ab-01b8-4406-a6e5-94a54aaa2dbb,0,fusb0o36,2.0,8.0,90,75
c3933595-b0b7-4050-9e25-0cb0ce82e032,0,pain2sfj,7.0,7.0,0,50
4e131c0a-d3c7-4c1d-b19b-00eec13972db,1,b7uotdiu,7.0,6.0,75,50
cf149237-6fb4-458c-b1fc-f8df29d2deb0,1,mbh2ap2j,4.0,4.0,0,50
69151edb-e4da-4902-933d-283ed7cfea4e,0,gtqg4alu,5.0,5.0,0,16
05ca1ff6-7b93-4b86-9307-bf710664dd0f,0,yfr42n54,8.0,8.0,0,27
f3a6d784-763f-41fb-b889-11f2bcba72d7,0,s8s8r6od,9.0,9.0,0,50
82b08721-72c1-4bfe-b09b-511b3b03f484,0,280ia2hf,1.0,3.0,0,96
32fd4cd2-8aa1-4dde-ac62-896cf13011bd,1,a644lk9a,7.0,7.0,50,85
62cdfece-43dd-451a-80d4-98182ab75885,0,6npwvr3e,9.0,9.0,0,2
5eb93cb5-db0b-4d09-9a59-2029f2753e1e,1,ymb5zqil,1.0,1.0,25,24
d5d0b4f8-195a-4985-90ad-39c87ec3a059,1,tgoccmze,7.0,5.0,70,81
4c88b4d8-0718-47ba-b497-80aa8e70405d,1,v1sur4uk,6.0,5.0,80,70
776ba85a-7ec6-40ca-aff0-d2d7627919ec,0,kilzznok,4.0,4.0,51,51
3a502b29-e6f1-4e4a-aba2-b83bff58887a,0,x4vgyedy,6.0,6.0,0,50
f3eadea7-021d-469b-8eef-0508ccc852c2,1,5li28yxl,7.0,1.0,50,34
d0a5d8c4-a5d8-42e4-9e98-657545cec815,0,f885ccqs,8.0,9.0,0,23
3d2c8b8e-a782-4b21-979f-43ca387d98ce,0,gpomtmrc,9.0,9.0,0,0
d85227b3-1de2-4df3-acec-18891baf76cd,0,3ofllhfr,7.0,9.0,0,90
d1b64760-12b9-4490-98b4-d8d251bb4657,1,hsd4wpdh,1.0,2.0,24,64
57ab2538-39e7-4d42-b6e6-ab38688d415d,1,fkrm3kl1,7.0,7.0,0,40
39bb06b9-5386-4081-addd-8216cb497a4c,0,53jw9rdh,7.0,7.0,0,20
f2d658e2-90c4-4942-813d-f4c063b84c93,0,34kj7eks,7.0,7.0,0,50
2be119b4-dee7-426f-b135-2da6580456f1,0,ed1to2ie,9.0,9.0,0,88
5722bccc-2f26-47ed-b1f6-6dcebec69963,1,q273nx5o,9.0,9.0,50,50
124978c6-f8c9-4d94-829a-fe59c714310b,1,0zx4uzgc,3.0,6.0,65,80
cded67c3-e143-4642-be01-b3258b1fa133,1,lni5v0k5,7.0,6.0,63,75
dabe869d-79d8-4c82-9350-5e4ebd0806c7,0,h6yd9u8a,9.0,9.0,0,0
f7376258-d293-44f9-aa07-938361a4e1ee,0,6gleibvz,7.0,6.0,0,16
173c7706-0e61-4620-9a0e-3df8bbfa845c,0,gs7anie3,2.0,4.0,0,79
e588666a-a560-466e-8494-aa64a1d06807,1,20i1coc0,7.0,6.0,75,16
1ae992b9-d676-4051-b939-19635ea24c24,0,a4pyn1if,9.0,9.0,0,25
