story_id,evaluator_code,condition,ai_used_actual,ai_guess_percent,pre_novel,pre_original,pre_rare,pre_appropriate,pre_feasible,pre_publishable,pre_tt_enjoyed,pre_tt_badly_written,pre_tt_boring,pre_tt_funny,pre_tt_twist,pre_tt_future
b7c28702-7a1c-4e82-9b92-4422a60440d0,mnnllhb0,human_1AI,0.0,10.0,1.0,1.0,1.0,7.0,2.0,4.0,5.0,5.0,7.0,1.0,1.0,1.0
99ef06e6-7930-4121-918d-b64c0dc4e885,xr0dhefd,human_1AI,1.0,0.0,1.0,1.0,1.0,4.0,4.0,3.0,2.0,4.0,6.0,1.0,1.0,1.0
ba492bdd-2caa-4147-9af8-b10a96a28355,5nwve1jt,human,0.0,16.0,2.0,2.0,2.0,5.0,3.0,4.0,4.0,3.0,6.0,2.0,3.0,4.0
8ec6743a-6ab5-4b6b-9c29-b57830dab1a6,nkf2ss0o,human,0.0,25.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,8.0,1.0,1.0,1.0
cb260fad-db5b-4730-960c-020aa4fd43c5,f02yzw1v,human,0.0,100.0,3.0,3.0,3.0,4.0,6.0,4.0,5.0,4.0,5.0,1.0,2.0,1.0
8b616451-0c4b-45bf-91eb-75f594b1e5b1,vnbvro81,human,0.0,72.0,3.0,3.0,2.0,7.0,2.0,3.0,3.0,5.0,7.0,2.0,3.0,2.0
92aeebce-c4f4-4c12-bcfe-787e838884ea,ijtt7ixk,human_1AI,0.0,59.0,2.0,2.0,2.0,5.0,4.0,3.0,3.0,3.0,4.0,1.0,3.0,2.0
a2f110ab-01b8-4406-a6e5-94a54aaa2dbb,fusb0o36,human_1AI,0.0,75.0,2.0,2.0,2.0,4.0,4.0,7.0,2.0,1.0,3.0,3.0,2.0,3.0
c3933595-b0b7-4050-9e25-0cb0ce82e032,pain2sfj,human,0.0,50.0,2.0,2.0,2.0,8.0,9.0,8.0,9.0,8.0,2.0,1.0,1.0,8.0
4e131c0a-d3c7-4c1d-b19b-00eec13972db,b7uotdiu,human_5AI,1.0,50.0,6.0,7.0,6.0,7.0,4.0,4.0,4.0,5.0,3.0,1.0,3.0,2.0
cf149237-6fb4-458c-b1fc-f8df29d2deb0,mbh2ap2j,human,1.0,50.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,6.0,8.0,1.0,2.0,2.0
69151edb-e4da-4902-933d-283ed7cfea4e,gtqg4alu,human,0.0,16.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,3.0,3.0,5.0
05ca1ff6-7b93-4b86-9307-bf710664dd0f,yfr42n54,human,0.0,27.0,3.0,3.0,3.0,7.0,7.0,7.0,2.0,4.0,5.0,1.0,6.0,3.0
f3a6d784-763f-41fb-b889-11f2bcba72d7,s8s8r6od,human,0.0,50.0,6.0,6.0,5.0,8.0,9.0,8.0,9.0,9.0,1.0,1.0,1.0,5.0
82b08721-72c1-4bfe-b09b-511b3b03f484,280ia2hf,human,0.0,96.0,3.0,2.0,2.0,3.0,2.0,5.0,3.0,5.0,7.0,1.0,2.0,1.0
32fd4cd2-8aa1-4dde-ac62-896cf13011bd,a644lk9a,human_5AI,1.0,85.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,6.0
62cdfece-43dd-451a-80d4-98182ab75885,6npwvr3e,human_1AI,0.0,2.0,5.0,6.0,8.0,6.0,4.0,4.0,5.0,6.0,4.0,1.0,2.0,1.0
5eb93cb5-db0b-4d09-9a59-2029f2753e1e,ymb5zqil,human_5AI,1.0,24.0,1.0,1.0,1.0,4.0,4.0,5.0,7.0,6.0,3.0,2.0,6.0,1.0
d5d0b4f8-195a-4985-90ad-39c87ec3a059,tgoccmze,human_5AI,1.0,81.0,6.0,4.0,7.0,4.0,6.0,4.0,4.0,6.0,6.0,2.0,8.0,4.0
4c88b4d8-0718-47ba-b497-80aa8e70405d,v1sur4uk,human_5AI,1.0,70.0,2.0,2.0,2.0,3.0,6.0,6.0,3.0,3.0,6.0,2.0,5.0,1.0
776ba85a-7ec6-40ca-aff0-d2d7627919ec,kilzznok,human_1AI,0.0,51.0,3.0,3.0,3.0,6.0,5.0,4.0,2.0,5.0,6.0,4.0,2.0,1.0
3a502b29-e6f1-4e4a-aba2-b83bff58887a,x4vgyedy,human,0.0,50.0,3.0,3.0,2.0,8.0,8.0,8.0,6.0,7.0,3.0,1.0,5.0,3.0
f3eadea7-021d-469b-8eef-0508ccc852c2,5li28yxl,human_1AI,1.0,34.0,3.0,2.0,2.0,4.0,1.0,2.0,3.0,3.0,7.0,1.0,3.0,2.0
d0a5d8c4-a5d8-42e4-9e98-657545cec815,f885ccqs,human,0.0,23.0,8.0,8.0,6.0,7.0,6.0,6.0,7.0,4.0,5.0,7.0,5.0,7.0
3d2c8b8e-a782-4b21-979f-43ca387d98ce,gpomtmrc,human,0.0,0.0,5.0,5.0,5.0,5.0,8.0,8.0,7.0,7.0,1.0,1.0,4.0,3.0
d85227b3-1de2-4df3-acec-18891baf76cd,3ofllhfr,human,0.0,90.0,2.0,2.0,1.0,5.0,6.0,3.0,4.0,2.0,8.0,1.0,1.0,1.0
